Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Непорожній,Остап,Андрійович,Чоловік,1938-01-27,Золотар,хутір Харків,"парк Проектований 3-й, буд. 3, Балаклія, 48625",098 207 46 62,havriushenkoanita@example.org
Редько,Зорян,Васильович,Чоловік,1984-02-09,Провізор,хутір Білогірськ,"вулиця Генуезька, буд. 5 кв. 21, Південне , 01652",+380 48 905 77 96,alinazakharchenko@example.net
Дейсун,Леон,Сергійович,Чоловік,1953-04-06,Математик,хутір Городня,"узвіз Новаторів, буд. 157 кв. 135, Миронівка, 41063",+380 (48) 874-76-69,ihor58@example.org
Ґерета,Олена,Іванівна,Жінка,1992-12-14,Публіцист,село Броди,"провулок Виноградна 2-га, буд. 58 кв. 862, Первомайськ, 45624",496-43-09,korolenkoles@example.org
Ґерета,Анастасія,Петрівна,Жінка,1992-08-08,Доцент,місто Монастириська,"набережна Державіна, буд. 1 кв. 497, Молодогвардійськ, 48097",308-48-40,zabaravladyslav@example.org
Чумаченко,Надія,Олександрівна,Жінка,1988-03-03,Архітектор,хутір Дубровиця,"парк Головна, буд. 674, Володимир-Волинський, 77973",+380 78 400-55-39,makohonstanislav@example.com
Шаблій,Алла,Олегівна,Жінка,1978-01-29,Конструктор,селище Бобровиця,"узвіз Орликова, буд. 01, Берислав, 27618",+380 50 215 59 42,iirvanets@example.org
Зубко,Гаврило,Володимирович,Чоловік,1964-09-07,Випробувач,хутір Христинівка,"шосе Листяна, буд. 899 кв. 3, Харків, 33748",+380 40 432-51-39,xavdieienko@example.net
Супруненко,Ілля,Юрійович,Чоловік,1991-11-07,Підприємець,місто Чорноморськ,"провулок Керченський 3-й, буд. 55, Шумськ, 45098",092 539 89 38,cirvanets@example.org
Шеремета,Борислав,Олексійович,Чоловік,1974-10-02,Зоолог,село Судова Вишня,"парк Старорізнична, буд. 101, Єнакієве, 65929",+380 98 364-13-72,tetiana23@example.com
Онуфрієнко,Єфрем,Петрович,Чоловік,1958-02-08,Бухгалтер,хутір Золоте,"парк Восьмого березня узвіз, буд. 447 кв. 76, Прилуки, 09336",+380 75 421-21-40,iaryna89@example.net
Щербань,Алла,Степанівна,Жінка,1947-10-08,Соціолог,місто Мукачево,"вулиця Матеріальний 1-й, буд. 9 кв. 727, Мелітополь, 11343",+380 (86) 302-32-23,nvyshyvana@example.org
Гречко,Зиновій,Леонідович,Чоловік,1946-04-28,Ді-джей,місто Збараж,"парк Перемоги, буд. 6 кв. 2, Комарно, 29672",075 073-36-72,omakohon@example.org
Єрмоленко,Христина,Володимирівна,Жінка,1997-01-11,Доцент,село Белз,"парк Кладовищенська, буд. 17 кв. 055, Полонне, 10956",017 933 37 59,sirkoustym@example.org
Доценко,Назар,Дмитрович,Чоловік,2004-02-08,Стиліст,хутір Ковель,"сквер Стамбульський, буд. 426, Володимир-Волинський, 71227",050 459-73-80,hmykhailychenko@example.org
Андрійчук,Іван,Сергійович,Чоловік,1969-02-14,Візажист,селище Українськ,"провулок 7-ма Лінія Дачі Ковалевського, буд. 37, Дунаївці, 41549",189-03-68,uiakymenko@example.com
Пелех,Богуслав,Юрійович,Чоловік,1977-03-08,Електромонтажник,хутір Володимир-Волинський,"сквер Тупиковий, буд. 36, Рожище, 19716",+380 54 288-88-06,parkhymovych@example.net
Адаменко,Аліна,Дмитрівна,Жінка,1943-01-05,Співак,село Жидачів,"парк Штильова, буд. 64 кв. 7, Кам'янка-Дніпровська, 01390",017 430-08-52,vira72@example.com
Вдовиченко,Варвара,Богданівна,Жінка,1966-07-01,Швачка,селище Гірник ,"узвіз Верещагіна, буд. 61, Бар, 40390",096 184 31 56,ishtokalo@example.net
Бандура,Амалія,Олексіївна,Жінка,1992-08-05,Футболіст,селище Моршин,"проспект Асташкіна, буд. 619, Кипуче, 84291",755-69-02,ihorchalyi@example.net
Голик,Соломія,Дмитрівна,Жінка,1991-03-11,Різноробочий,місто Кропивницький,"сквер Генуезька, буд. 23, Дружківка, 31678",+380 23 551-21-44,bohdanfranko@example.org
Штепа,Богуслав,Петрович,Чоловік,1938-06-01,Фрілансер,селище Старий Самбір,"проспект Рівний, буд. 479 кв. 640, Деражня, 57898",085 451-18-60,hanna81@example.net
Гаврилишин,Йосип,Володимирович,Чоловік,1957-01-20,Фермер,хутір Полонне,"проспект Абрикосова, буд. 494 кв. 83, Долина , 50518",672 51 41,shvachkamilena@example.net
Бевзенко,Марʼяна,Дмитрівна,Жінка,2008-06-12,Художник,хутір Горохів,"набережна Дальницьке, буд. 03 кв. 3, Збараж, 55128",067 092 03 22,nosenkomykyta@example.org
Данильчук,Світлана,Володимирівна,Жінка,1949-06-02,Клоун,селище Маріуполь,"парк Пересипський 2-й, буд. 676 кв. 854, Новомосковськ, 41371",+380 70 955-01-32,zdanyliuk@example.com
Лазаренко,Спас,Дмитрович,Чоловік,1937-11-07,Піаніст,хутір Мерефа,"площа Східчастий, буд. 0 кв. 3, Сколе, 26060",+380 07 336 36 59,jfranchuk@example.org
Чумак,Богдан,Григорович,Чоловік,1952-12-07,Мінералог,місто Миколаїв,"провулок Наявний 3-й, буд. 9 кв. 40, Почаїв, 26905",+380 81 311 29 22,piddubnaiaroslava@example.org
Кабалюк,Володимир,Ігорович,Чоловік,1998-04-13,Машиніст,селище Новодністровськ,"парк Тіниста, буд. 53 кв. 47, Тальне, 35714",+380 66 138-08-20,mykytazhurba@example.com
Непорожній,Пантелеймон,Іванович,Чоловік,1991-05-22,Бухгалтер,хутір Дніпро ,"сквер Василя Кандинського 2-й, буд. 935 кв. 038, Чугуїв, 21115",020 931-70-02,arsenreva@example.net
Іваничук,Клавдія,Олександрівна,Жінка,1979-11-20,Кушнір,селище Бобровиця,"парк Дачний 1-й, буд. 7, Радивилів, 14099",953 78 80,khrystyna93@example.org
Чарниш,Вʼячеслав,Олексійович,Чоловік,1984-05-29,Модель,хутір Мукачево,"провулок Мельницька, буд. 4 кв. 413, Яремче, 89447",262 08 25,vlasenkoleonid@example.net
Терещук,Сергій,Юрійович,Чоловік,1948-11-09,Електромонтажник,село Копичинці,"проспект 2-га Лінія Марії Демченко, буд. 33, Зимогір'я, 71160",501 26 51,tymofiiromanets@example.com
Онищенко,Варфоломій,Олегович,Чоловік,1988-01-18,Мірошник,хутір Костянтинівка,"провулок Волоколамська, буд. 500 кв. 82, Оріхів, 76577",222-85-25,ztalan@example.org
Єрченко,Макар,Володимирович,Чоловік,1991-05-14,Ріелтор,хутір Первомайський ,"набережна Достоєвського, буд. 68, Карлівка, 85016",+380 (37) 164-45-48,opetliura@example.org
Джунь,Ганна,Петрівна,Жінка,1948-02-19,Модель,село Бахмач,"набережна Мічуріна, буд. 38 кв. 6, Зимогір'я, 77698",+380 75 746-21-92,ievtushokalina@example.com
Дрозденко,Едуард,Андрійович,Чоловік,1973-11-21,Літературознавець,село Голубівка,"вулиця Новоселів, буд. 826, Кодима, 38663",+380 00 734-65-88,jholyk@example.net
Тичина,Сніжана,Дмитрівна,Жінка,1958-12-10,Археолог,село Хрестівка,"провулок Івана Франка, буд. 775 кв. 4, Узин, 06729",+380 (83) 086-11-76,feofanshchors@example.com
Килимник,Валентин,Володимирович,Чоловік,1977-10-18,Євнух,селище Волочиськ,"провулок Пляжна, буд. 329, Боярка, 67162",074 328 21 18,vasylprokopovych@example.com
Андрощук,Валентина,Леонідівна,Жінка,1984-03-28,Парфюмер,хутір Гнівань,"провулок Чернівецький, буд. 06 кв. 394, Арциз, 58072",051 285 41 94,afranko@example.org
Чумак,Віталій,Євгенович,Чоловік,1944-08-14,Публіцист,хутір Теплодар,"вулиця Рульовий, буд. 842 кв. 53, Родинське, 91276",+380 20 968-90-11,pryimakanton@example.net
Єфименко,Болеслав,Юрійович,Чоловік,1994-11-09,Краєзнавець,село Дубровиця,"вулиця Семінарська, буд. 09 кв. 863, Старокостянтинів, 15333",+380 72 767-00-12,rubansvitlana@example.net
Ященко,Святослав,Дмитрович,Чоловік,2003-03-26,Стропальник,село Голубівка,"проспект 4-та Суворовська, буд. 80, Антрацит , 10592",350 88 69,orestkalenychenko@example.org
Супруненко,Віолетта,Григорівна,Жінка,1987-12-06,Вчитель,місто Армянськ,"провулок Байкал тупик, буд. 4 кв. 408, Сулимівка (Слов'янськ), 06178",088 098-65-97,semen38@example.net
Олійник,Орхип,Леонідович,Чоловік,1944-03-31,Кухар,село Васильків,"парк Савранська, буд. 512, Сватове, 99720",003 501 36 39,tykhamaryna@example.net
Павлик,Охрім,Олександрович,Чоловік,1996-10-08,Патологоанатом,хутір Андрушівка,"набережна Слов'янська, буд. 8, Зборів, 81204",+380 59 445-14-95,iefremruban@example.net
Носаченко,Назар,Михайлович,Чоловік,1964-11-28,Шериф,місто Виноградів,"сквер Соляний 5-й, буд. 461, Кам'янка-Дніпровська, 93595",410-52-44,heorhii02@example.com
Рябовіл,Богуслав,Богданович,Чоловік,1938-02-27,Архітектор,хутір Бердичів,"площа Академіка Корольова, буд. 58 кв. 048, Корюківка, 24048",074 253 87 76,tymchukbohodar@example.org
Ярош,Марта,Петрівна,Жінка,1942-02-23,Нотаріус,село Дніпрорудне,"проспект Астрономічна, буд. 4, Родинське, 01256",047 091-24-29,bzhuchenko@example.net
Фастенко,Юстим,Ігорович,Чоловік,1962-06-04,Краєзнавець,селище Скалат,"сквер Флотський 3-й, буд. 261, Буринь, 50096",398-80-39,stepan18@example.net
Дацюк,Алла,Олександрівна,Жінка,1974-10-19,Математик,селище Бунге ,"парк Ільфа і Петрова, буд. 36 кв. 9, Луцьк, 20887",+380 30 875-68-74,vzhalilo@example.com
Кащенко,Амвросій,Петрович,Чоловік,1988-10-28,Машиніст,хутір Новодружеськ,"узвіз 13-та ст. Великого Фонтану пляж, буд. 24, Нововолинськ, 99960",055 082-79-52,olena98@example.net
Жадан,Емілія,Леонідівна,Жінка,1949-08-11,М'ясник,хутір Хоростків,"площа Десятого квітня, буд. 1 кв. 962, Вугледар, 17571",341 85 34,olena57@example.com
Верменич,Розалія,Андріївна,Жінка,1972-12-22,Психолог,селище Харцизьк,"проспект Фабрична, буд. 4 кв. 796, Сімферополь, 48211",+380 54 338-63-64,zinchenkotrokhym@example.org
Ґереґа,Віктор,Іванович,Чоловік,1975-02-09,Етнограф,село Бобринець,"парк Килимовий, буд. 5, Кривий Ріг, 37031",499-67-89,opanas74@example.org
Бабʼяк,Аніта,Олександрівна,Жінка,1982-01-10,Бізнесмен,місто Борислав,"узвіз Злакова, буд. 633 кв. 193, Камінь-Каширський, 84944",435 76 85,mykolaihupalo@example.net
Аврамчук,Златослава,Олексіївна,Жінка,1999-08-27,Епідеміолог,хутір Добромиль,"вулиця Лиманчик 2-й Лінія 11-та, буд. 4, Бровари, 81210",+380 51 896-48-56,kostiantyn24@example.org
Лавренко,Данна,Ігорівна,Жінка,1974-04-21,Електротехнік,хутір Гадяч,"провулок Теплична, буд. 1 кв. 8, Вуглегірськ, 13093",051 250 90 16,gandriienko@example.org
Шевченко,Федір,Олегович,Чоловік,1992-01-14,Детектив,місто Батурин,"площа Рибальська, буд. 9, Очаків, 28253",+380 (14) 427-03-37,holykedyta@example.com
Гайда,Панас,Богданович,Чоловік,1971-07-07,Ботанік,село Костянтинівка,"шосе Пресича Олександра, буд. 0, Дніпро , 77253",+380 (68) 170-62-98,stepan59@example.com
Дубенко,Андрій,Іванович,Чоловік,1994-07-08,Намотувальник,місто Севастополь,"проспект Просьолочна, буд. 5 кв. 0, Підгайці, 63019",+380 46 390-10-62,nshchors@example.net
Заїка,Тереза,Юріївна,Жінка,1975-09-17,Зоолог,село Звенигородка,"вулиця Воронцовський, буд. 033 кв. 56, Моршин, 54652",077 883-53-43,vernyhoratetiana@example.org
Ватаманюк,Мирон,Васильович,Чоловік,1995-03-04,Співак,селище Івано-Франківськ,"провулок Пассіонарії, буд. 52, Стебник, 88231",096 230 03 47,vchervonenko@example.com
Гавришкевич,Августин,Григорович,Чоловік,1999-12-08,Гицель,селище Балаклія,"проспект Каретний, буд. 63 кв. 22, Путивль, 19776",026 594-03-60,oryna51@example.net
Фастенко,Лукʼян,Євгенович,Чоловік,1961-04-19,Письменник,хутір Соледар,"сквер Дністровська, буд. 89, Винники, 03933",+380 20 011 32 35,amvrosiizaiets@example.com
Титаренко,Адам,Васильович,Чоловік,1981-06-18,Гицель,хутір Чистякове,"парк Педагогічна, буд. 2 кв. 64, Моспине, 22948",+380 (74) 051-10-67,andriiovychklavdiia@example.com
Бездітко,Йосип,Олександрович,Чоловік,1938-06-29,Публіцист,місто Середина-Буда,"вулиця Ушинського, буд. 209, Горлівка, 87932",+380 85 505-61-60,arsenriabchenko@example.com
Чумаченко,Станіслав,Олегович,Чоловік,1938-07-12,Живописець,село Березань ,"парк Ялинкова, буд. 2, Скадовськ, 03965",+380 74 209 86 26,turkalopetro@example.net
Гавриленко,Ярослава,Євгенівна,Жінка,1998-08-30,Євнух,хутір Залізне,"набережна Топольського, буд. 157, Сорокине, 95008",+380 66 140 35 59,kyrylenkohavrylo@example.net
Гайда,Андрій,Олегович,Чоловік,1982-01-15,Фольклорист,село Сніжне,"вулиця Гагаріна, буд. 2, Хрустальний, 37562",+380 45 682-81-14,sahalstanislav@example.net
Черінько,Едита,Олегівна,Жінка,1968-10-14,Мистецтвознавець,селище Горохів,"парк Тролейбусна, буд. 68, Южне, 85681",030 927 53 09,kyrylenkovolodymyra@example.com
Сірко,Мілена,Юріївна,Жінка,1959-06-26,Антрополог,місто Почаїв,"шосе Аеропортівський 1-й, буд. 30 кв. 296, Таврійськ, 02036",405 27 14,cdeineko@example.net
Данько,Ольга,Олексіївна,Жінка,1970-04-22,Антрополог,село Рубіжне,"площа Професора Коровицького, буд. 29 кв. 159, Верхівцеве, 08216",477-83-56,artemenkoviacheslav@example.org
Швачко,Охрім,Степанович,Чоловік,2006-11-15,Футболіст,місто Пологи ,"сквер Аполона Скальковського, буд. 41 кв. 747, Рубіжне, 77785",056 85 86,mykhailynakaras@example.com
Христенко,Мартин,Володимирович,Чоловік,1999-07-23,Історик,місто Миргород,"узвіз Побратимів, буд. 919 кв. 23, Кам'янка-Дніпровська, 64861",+380 61 189-76-27,aaron69@example.org
Лупій,Едита,Андріївна,Жінка,2001-05-05,Фармацевт,селище Ланівці,"площа Керченський 3-й, буд. 10, Волноваха, 48897",170-53-63,iaroslavsmyk@example.net
Кармалюк,Віолетта,Дмитрівна,Жінка,1981-10-16,Доцент,селище Підгайці,"сквер Садова 6-та, буд. 8 кв. 531, Генічеськ, 05492",+380 (75) 742-92-35,izaiets@example.net
Бабенко,Хома,Олександрович,Чоловік,1990-04-27,Фотограф,село Бершадь,"парк Костанді 3-й, буд. 175 кв. 49, Рава-Руська, 61390",+380 (12) 854-08-36,uvasylenko@example.org
Ткаченко,Трохим,Михайлович,Чоловік,2000-05-12,Дипломат,село Лебедин,"площа Гілельса, буд. 7 кв. 9, Кропивницький, 20258",071 082 98 81,iemetsmaksym@example.net
Гречаник,Альбіна,Сергіївна,Жінка,2002-12-12,Сценарист,селище Первомайськ,"узвіз Іспанський, буд. 74, Світловодськ, 22301",+380 80 843-95-75,hsirobaba@example.org
Василашко,Герман,Володимирович,Чоловік,1968-07-11,Юрист,селище Щастя ,"сквер Наявний 2-й, буд. 520, Севастополь, 02909",+380 (72) 429-75-95,kkabaliuk@example.com
Бабенко,Юстина,Олегівна,Жінка,1950-03-12,Хореограф,хутір Горохів,"шосе Проточний, буд. 6, Помічна, 63344",+380 03 362 81 39,arkadiiivanychuk@example.com
Макогон,Іван,Дмитрович,Чоловік,1970-12-25,Хімік,місто Сулимівка (Слов'янськ),"проспект Маршрутна, буд. 2 кв. 43, Богодухів, 60901",+380 68 377-02-07,nazar84@example.net
Рябець,Мілена,Леонідівна,Жінка,1982-10-07,Машиніст,село Радехів,"набережна Левадна, буд. 36, Герца, 71891",568 45 91,irena85@example.com
Голик,Іван,Сергійович,Чоловік,2003-10-18,Петрограф,хутір Новоукраїнка,"парк Миколи Плигуна, буд. 5, Ізяслав, 73122",034 887-74-44,tbaklan@example.net
Євдокименко,Віталій,Михайлович,Чоловік,2005-03-10,Фотограф,село Дергачі,"парк Вапняний 3-й, буд. 0 кв. 142, Кремінна, 73843",731-62-82,sviatoslav75@example.net
Артеменко,Костянтин,Петрович,Чоловік,1941-05-12,Медик,хутір Зугрес,"провулок Дністровська, буд. 00 кв. 880, Залізне, 49292",+380 40 645 92 55,albina97@example.com
Тягнибок,Миколай,Юрійович,Чоловік,1947-05-20,Локсмайстер,селище Зоринськ,"сквер Демократична, буд. 34, Жовті Води, 41470",035 809-32-08,lieresko@example.net
Кармалюк,Оксана,Андріївна,Жінка,1961-11-08,Музикознавець,селище Баштанка,"провулок Світлий, буд. 232 кв. 26, Мукачево, 61419",+380 22 128 37 59,adazharko@example.org
Лавренко,Герман,Володимирович,Чоловік,1988-06-25,Перекладач,селище Довжанськ,"провулок Селищна, буд. 65 кв. 47, Вільногірськ, 14656",+380 (18) 556-76-36,ktytarenko@example.com
Аврамчук,Василина,Богданівна,Жінка,2003-04-05,Мінералог,хутір Нововолинськ,"набережна Травневий 4-й, буд. 4, Винники, 10268",569 88 55,zorian66@example.com
Рудик,Богуслав,Олексійович,Чоловік,1950-08-31,Музикант,місто Алчевськ,"шосе Травневий 3-й, буд. 652 кв. 23, Снятин, 85266",031 559 94 16,ltaran@example.com
Сацюк,Теодор,Леонідович,Чоловік,2006-04-20,Золотар,селище Носівка,"провулок Олексіївська, буд. 91, Новоград-Волинський, 54078",+380 (03) 388-48-63,goliashdanylo@example.com
Чміль,Лукʼян,Дмитрович,Чоловік,2000-02-27,Мірошник,місто Самбір,"проспект Балтський 6-й, буд. 745, Каховка, 05466",084 855-87-64,danylo19@example.com
Акуленко,Віолетта,Михайлівна,Жінка,1966-03-25,М'ясник,місто Феодосія,"площа Маловського, буд. 9 кв. 8, Берегове, 03573",+380 73 429-73-20,klymentpavlenko@example.net
Петлюра,Емілія,Петрівна,Жінка,1983-09-27,Бібліотекар,місто Судак ,"шосе Казанська, буд. 6 кв. 7, Волноваха, 75830",+380 (66) 706-01-69,bashtankhoma@example.org
Павличенко,Пантелеймон,Леонідович,Чоловік,1947-06-25,Письменник,село Дубровиця,"проспект Вєтрогонова, буд. 2 кв. 412, Южноукраїнськ, 14636",+380 70 811-38-19,anzhela58@example.org
Корсун,Марія,Леонідівна,Жінка,1938-12-27,Стиліст,місто Носівка,"площа Лінія 50-та, буд. 5, Путивль, 23317",091 667-15-95,veniiamyn42@example.com
Пустовіт,Юстим,Ігорович,Чоловік,1951-12-01,Художник,хутір Алмазна,"шосе Ямчитського, буд. 340, Городище , 90312",+380 58 479-31-49,myroslavzaika@example.org
Шморгун,Ігнат,Михайлович,Чоловік,1953-08-03,Флорист,селище Деражня,"площа Окружна, буд. 513, Фастів, 29274",+380 (17) 649-31-63,nvakulenko@example.com
Байдак,Назар,Олегович,Чоловік,1965-10-22,Кіноактор,хутір Лохвиця,"сквер Капітана Кузнецова, буд. 16, Рогатин, 73105",+380 51 364-78-67,milena29@example.net
Андрощук,Зиновій,Іванович,Чоловік,1954-08-23,Пілот,хутір Старокостянтинів,"проспект Михайлівська, буд. 8 кв. 86, Чуднів, 21967",398 20 44,edytatryhub@example.net
Ірванець,Адам,Дмитрович,Чоловік,1994-06-20,Локсмайстер,хутір Жашків,"провулок Тимірязєва 5-й, буд. 43 кв. 626, Марганець , 27701",+380 83 655-85-61,androshchuktymofii@example.org
Швайка,Віталій,Петрович,Чоловік,1953-06-23,Живописець,місто Лебедин,"узвіз Польова, буд. 998 кв. 72, Зугрес, 04464",+380 (90) 323-47-76,wadamenko@example.com
Ґоляш,Орися,Степанівна,Жінка,2006-11-05,Каскадер,селище Одеса,"парк Чапаєва, буд. 80 кв. 17, Кривий Ріг, 86557",984 68 16,liliia87@example.org
Єщенко,Клавдія,Юріївна,Жінка,1975-03-02,Режисер,селище Євпаторія,"проспект Станційна 2-га, буд. 13, Моспине, 82463",+380 (50) 497-39-76,kasaula@example.com
Башполченко,Аліна,Михайлівна,Жінка,1945-11-04,Няня,хутір Верхівцеве,"проспект Лінія 51-ша, буд. 25 кв. 64, Баштанка, 38654",064 417 07 75,azarandriievych@example.com
Ґерус,Оксана,Василівна,Жінка,1988-04-05,Мовознавець,селище Білгород-Дністровський,"вулиця Шевченка, буд. 68, Новий Буг, 46735",071 405-15-17,kadeniukeduard@example.com
Бабʼюк,Варвара,Михайлівна,Жінка,1950-09-22,Продюсер,місто Синельникове,"площа Дніпровська, буд. 73 кв. 73, Джанкой, 68097",097 384-71-95,okseniiakybkalo@example.org
Байрак,Аліна,Володимирівна,Жінка,1974-03-11,Каскадер,місто Родинське,"проспект Красний, буд. 364, Соледар, 36966",+380 29 735 59 20,iukhymenkokhoma@example.org
Килимник,Станіслав,Васильович,Чоловік,1983-05-02,Медик,хутір Ірпінь,"площа Шота Руставелі, буд. 6, Верхівцеве, 29054",551-78-92,hsvyrydenko@example.org
Єсипенко,Захар,Юрійович,Чоловік,1973-12-31,Астрофізик,селище Нова Каховка,"провулок Лазурний 4-й, буд. 420, Селидове, 20500",+380 35 799-75-87,iakivadamchuk@example.org
Фаренюк,Едуард,Григорович,Чоловік,1976-03-31,Реставратор,селище Горішні Плавні,"проспект 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 2 кв. 02, Олександрія, 62757",+380 76 919-03-19,olehzhalilo@example.com
Радченко,Юстим,Сергійович,Чоловік,2003-04-03,Громадський діяч,село Ясинувата,"площа Наявний 2-й, буд. 436, Чорнобиль, 64562",+380 (30) 358-81-54,rozaliia29@example.org
Онуфрієнко,Світлана,Ігорівна,Жінка,1948-09-19,Вчитель,селище Бершадь,"вулиця Казковий, буд. 99 кв. 6, Володимир-Волинський, 45553",686-31-75,tshamrai@example.net
Чуприна,Надія,Олегівна,Жінка,1973-11-08,Дизайнер,місто Канів,"площа Пересипський 1-й, буд. 4, Баранівка, 52902",+380 (91) 079-53-36,jtymchuk@example.org
Артим,Лукʼян,Володимирович,Чоловік,1942-10-12,Інженер,хутір Радомишль,"набережна Локомотивний 2-й, буд. 66 кв. 097, Соснівка , 96648",784-92-01,arsen19@example.com
Хмара,Іван,Михайлович,Чоловік,1987-12-31,Модельєр,селище Буськ,"узвіз Краснова, буд. 86 кв. 7, Луганськ, 23802",+380 48 710-86-73,amvrosiivlasenko@example.com
Ільченко,Олександр,Степанович,Чоловік,1997-05-07,Кінорежисер,селище Верхньодніпровськ,"парк Баркасний, буд. 10 кв. 01, Свалява, 68446",091 555 76 12,sofiia70@example.net
Петрик,Климент,Петрович,Чоловік,2002-03-11,Євнух,місто Краматорськ,"узвіз Листяний, буд. 582 кв. 878, Зіньків, 10481",056 526-44-45,dupliiruslan@example.net
Ярош,Панас,Юрійович,Чоловік,1947-05-31,Громадський діяч,селище Броди,"площа Світлий, буд. 0, Кадіївка, 83858",076 807 35 83,radchenkozorian@example.com
Андрієнко,Варфоломій,Петрович,Чоловік,1940-09-09,Фізик,хутір Кагарлик,"узвіз Нерубайська, буд. 84 кв. 9, Львів, 84678",323 04 75,zlupii@example.org
Ґереґа,Степан,Юрійович,Чоловік,1999-01-08,Клавішник,село Сокаль,"проспект Лавкова, буд. 23, Монастириська, 14093",+380 (19) 286-48-78,klyment86@example.net
Забарна,Дарина,Леонідівна,Жінка,1980-09-23,Шериф,хутір Чорноморськ,"площа Воронезька, буд. 8, Бровари, 79194",065 116 50 51,oles66@example.org
Чубай,Степан,Володимирович,Чоловік,2000-12-03,Науковець,місто Синельникове,"площа Станційна 3-тя, буд. 279, Кам'янське, 59788",+380 20 838-03-08,lesgerus@example.org
Артим,Давид,Іванович,Чоловік,1944-08-30,Археолог,село Заліщики,"провулок Чорноморський 10-й, буд. 77, Буринь, 68483",689 30 36,irvanetshennadii@example.org
Михайлюк,Аврелій,Іванович,Чоловік,2003-04-15,Живописець,селище Вознесенівка,"узвіз Марата 1-й, буд. 806, Хмельницький, 09378",+380 29 989-15-37,illiahuzii@example.com
Павленко,Орест,Петрович,Чоловік,1946-10-01,Агроном,хутір Кодима,"провулок Марата 2-й, буд. 8 кв. 150, Красноград, 62070",+380 (90) 422-43-74,tkachorest@example.net
Дробаха,Вадим,Юрійович,Чоловік,1991-08-16,Дизайнер,селище Болград,"шосе Волниста, буд. 7 кв. 38, Нова Одеса, 72416",032 038 06 98,shelestvladyslav@example.org
Ґалаґан,Єва,Григорівна,Жінка,1987-07-27,Філолог,село Хотин,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 43, Довжанськ, 20482",+380 19 616-31-87,opanas02@example.org
Нестеренко,Софія,Степанівна,Жінка,1957-07-01,Краєзнавець,місто Теребовля,"сквер Князівський, буд. 11, Шахтарськ, 68073",+380 11 365-88-02,vitalii91@example.org
Рева,Данна,Григорівна,Жінка,2006-12-29,Правник,селище Шумськ,"сквер Байдарочний, буд. 8 кв. 42, Тиврів, 89167",466-02-33,iaremkooksana@example.org
Чаленко,Ірена,Олегівна,Жінка,1962-06-04,Складальник,хутір Покров,"вулиця Залізнична, буд. 8, Тараща, 32353",603-70-82,orkhypmedvedenko@example.net
Романенко,Давид,Олегович,Чоловік,1943-02-05,Детектив,село Борзна,"сквер Шампанський, буд. 4, Золоте, 45380",+380 92 356 84 23,havryloartemenko@example.org
Вишняк,Альбіна,Володимирівна,Жінка,2002-10-27,Ветеринар,селище Галич,"площа Вєтрова, буд. 13, Новодністровськ, 61622",+380 (00) 868-36-62,pylyp30@example.com
Чайка,Стефан,Олегович,Чоловік,1977-10-31,Науковець,місто Новодністровськ,"сквер Китобійний 2-й, буд. 663 кв. 4, Почаїв, 43815",076 910 79 51,zynovii34@example.org
Нестеренко,Варвара,Василівна,Жінка,1981-10-18,Стиліст,селище Дубно,"провулок Зелений, буд. 26 кв. 078, Кривий Ріг, 99073",317-62-03,qskorobohatko@example.com
Карпа,Маруся,Григорівна,Жінка,1995-07-05,Краєзнавець,село Міусинськ,"набережна Макаренка, буд. 31, Обухів, 77181",+380 01 383-91-62,bevzviacheslav@example.net
Філіпенко,Назар,Євгенович,Чоловік,1982-11-08,Водій,хутір Суми,"провулок Молокова, буд. 852, Покров, 91151",+380 77 228 23 03,ivanishchak@example.org
Скирда,Георгій,Ігорович,Чоловік,1958-04-18,Золотар,селище Кривий Ріг,"площа Артилерійська, буд. 72, Біла Церква, 23270",+380 30 316 04 56,ielysavetatarasenko@example.net
Рябець,Марія,Іванівна,Жінка,1988-07-07,Фермер,місто Луцьк,"набережна Ювілейний 2-й, буд. 16 кв. 6, Бібрка, 60493",440-60-63,hordiipiatachenko@example.org
Чаленко,Геннадій,Васильович,Чоловік,1980-07-26,Педагог,село Жовква,"сквер 12-та Суворовська, буд. 0 кв. 66, Краматорськ, 47546",091 785 97 52,pneporozhnii@example.org
Шелест,Євген,Михайлович,Чоловік,1985-01-12,Геолог,місто Білогірськ,"площа Гілельса, буд. 383, Корюківка, 51863",+380 77 166-77-80,garsenych@example.net
Яременко,Леонтій,Володимирович,Чоловік,1970-03-22,Модельєр,селище Одеса,"сквер Восьмого березня узвіз, буд. 240, Одеса, 34435",+380 (56) 764-66-16,ihnatsavenko@example.com
Бабʼюк,Дмитро,Леонідович,Чоловік,1993-03-12,Випробувач,хутір Єнакієве,"провулок Волоколамська, буд. 5, Свалява, 54208",774-33-54,prokhirieroshenko@example.com
Гупало,Ада,Петрівна,Жінка,1988-12-15,Інженер,місто Миргород,"провулок Шота Руставелі, буд. 3 кв. 54, Харків, 95998",033 827-85-56,iryna06@example.net
